我一剑能挡百万兵,20,我一剑能挡百万兵。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,12639964.580269564,0.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,12663126.923287611,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,12678278.813815292,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12686045.40300427,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12748287.714690104,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12759570.801497061,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,12781726.715728039,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12826450.450777385,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,12911573.845765159,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,12941212.294788128,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,12948417.633627532,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,12951897.324244734,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,12986724.509032765,0.125
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,13072662.247561913,0.125
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,13092948.322211081,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,13115525.052422894,0.125
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,13168872.944082135,0.125
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,13192787.372755142,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,13204060.514623972,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,13267368.933396347,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,13287514.445052547,0.125
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,13310493.775580976,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,13328244.852516916,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,13368933.348905981,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,13379938.872252529,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,13422356.898862092,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,13422621.48086744,0.125
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,13549844.346762327,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,13552436.573996786,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,13588829.541417662,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,13690610.706791392,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,13721879.011175381,0.125
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,13747274.258306991,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,13760891.696073549,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,13900097.884940911,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,13995479.771218238,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,14000088.718771944,0.125
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,14272863.566950774,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,14334280.046925263,0.125
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,14341742.965460958,0.25
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,14423695.146438394,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,14440623.276629802,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,14450618.421490258,0.125
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,14456611.326123748,0.125
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,14538397.174281852,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,14575473.828517163,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,14583118.915096566,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,14595898.476161167,0.125
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,14603665.638755517,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,14651858.282367852,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,14716867.153317269,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,14720590.872119915,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,14730287.911225894,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,14767127.517615553,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,14790792.659865895,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,14793073.524121316,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,14794380.206622675,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,14799302.34643391,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,14896127.018703943,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,14945844.821587579,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,14947901.871461486,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,15063515.030267522,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,15225067.236636179,0.25
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,15275541.83783338,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,15320469.816203158,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,15324495.840646544,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,15376047.622996619,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,15429843.87882838,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,15475479.88088369,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,15672979.980596675,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,15675835.342293531,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,15710760.664640727,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,15764630.131120291,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,15819867.612657994,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,15859270.343536824,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,15867097.63811175,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,15904386.795197915,0.125
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,15909588.625110488,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,15970649.571828054,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,16019315.119358473,0.125
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,16048473.844266202,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,16054628.823983494,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,16128657.062794235,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,16129044.487478985,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,16260787.288976483,0.125
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,16270677.475082977,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,16278324.421967238,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,16301593.208434626,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,16327627.607246276,0.25
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,16327627.607246276,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,16443434.649082772,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,16480135.97755757,0.125
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,16639416.914733266,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,16723824.275801945,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,16738947.194779152,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,16890806.468945105,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,16978977.120720789,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,17016923.0135746,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,17114832.549276501,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,17259276.807918008,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,17379819.909523927,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,17564770.423868332,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,17567529.737737,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,17591637.92173994,0.125
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,17693478.822396971,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,17750307.863398831,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,17756240.625321627,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,17783534.614072293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,17794011.979622986,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,17833912.409129292,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,17916117.301899128,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,18015013.98937868,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,18067886.341614079,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,18147773.932715498,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,18147773.932715498,0.125
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,18262355.036764454,0.125
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,18360450.66090437,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,18371268.134750608,0.125
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,18375655.969087414,0.25
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,18389414.486607894,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,18497808.427198902,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,18559498.940494612,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,18570621.845561944,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,18781076.160865396,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,18882232.003548115,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,18987973.890722871,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,19094403.464373838,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,19300817.875338852,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,19327255.174387287,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,19383727.095793508,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,19403547.929699663,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,19531387.227208745,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,19576061.292740211,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,19654568.802696578,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,19967835.087423842,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,20045302.745583486,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,20111811.651683934,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,20114545.439015843,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,20161244.476983152,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,20161244.476983152,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,20172523.673823759,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,20186304.372191697,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,20337806.874598615,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,20510798.220505007,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,20513466.058738045,0.125
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,20516657.902453553,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,20593727.491711248,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,20694801.694703259,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,20720354.800875328,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,20882266.743837405,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,20900821.181095704,0.125
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,20962503.794286352,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,21180882.923376102,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,21309967.067774437,0.125
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,21323525.356877983,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,21853969.070861675,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,22143094.627044976,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,22312458.961171791,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,22349718.914492272,0.25
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,22438509.04759654,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,22671747.809675716,0.125
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,22786510.953260642,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,22866485.290295396,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,23020100.848748785,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,23443058.201716546,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,23865071.77811889,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,23922557.58751009,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,24314503.400881458,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,24337885.395018455,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,24845960.985706985,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,26162505.450948484,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,26164700.874202788,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,26475562.276492383,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,27947444.439991605,0.125
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,29462893.140423078,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,30059377.426960897,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,32143677.567926459,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,32918112.774813212,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,35770975.081125468,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,39304676.625821032,0.125
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,39594527.005044922,0.125
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,39746831.927450188,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,40285854.782583609,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,40374087.460561007,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,40968120.226732977,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,41210129.84633667,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,42013832.038876452,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,42079374.195864581,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,42298807.749177016,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,42497286.403658234,0.25
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,42837105.182408631,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,42885795.794920042,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,42957138.328489386,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,43968711.027063474,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,44205820.481197894,0.125
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,44409187.867362998,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,45049616.538747445,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,46000670.207237333,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,46157031.224173874,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,46238389.829779513,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,46389665.99340672,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,47058749.595567614,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,47145013.899632335,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,47159968.993641496,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,47277771.001452804,0.125
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,47479080.326758385,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,47502125.560048237,0.125
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,47789859.756059848,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,47868322.89866861,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,47927265.424635433,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,48096835.675085083,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,48260965.889256813,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,48634629.453264542,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,49550001.670622677,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,49605730.41115576,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,50168729.332058266,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,50425766.335700542,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,50528581.297552519,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,51229506.964006215,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,51243067.813453808,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,51243067.813453808,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,51463231.937503509,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,51486340.822972216,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,51492419.689066909,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,51844685.940487698,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,52148617.57513085,0.125
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,52220148.549115829,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,52399563.503386743,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,53891837.033890478,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,53962528.69231192,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,54295653.583729811,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,54657111.803347722,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,54800437.050494894,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,54948309.652281202,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,54953435.679836154,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,55610566.045508146,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,55665301.577266172,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,55696224.782758668,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,55847604.807733536,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,56045614.683160923,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,56368654.805750154,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,56510549.897952117,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,56637142.736267142,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,56654650.628108174,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,56865593.643056311,0.125
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,56970893.592872731,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,57615103.105713584,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,57766014.623247415,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,57816692.815425597,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,58305781.822162464,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,58311350.379280917,0.125
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,58432204.813406087,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,58770832.138819613,0.25
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,59327518.357900396,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,59718936.479027763,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,59811234.580382988,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,59851845.551242091,0.125
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,59859139.204246789,0.125
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,60199502.729044013,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,60493605.897806548,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,60666311.815929525,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,60771680.359690182,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,61082234.637463234,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,61255335.567075409,0.125
