残生一线付惊涛,145,残生一线付惊涛。
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,10552056.81345813,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10552892.255112361,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,10565375.054910598,0.14285714285714285
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,10596812.051740227,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,10602796.16037472,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,10651266.535365703,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10696681.727753038,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10705297.836336855,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,10779423.878929714,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,10863879.726850718,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10867248.974691657,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10868429.826884162,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10896313.099241955,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,10927240.040257858,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,10972779.800139705,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10995738.293261135,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,11008077.347188896,0.14285714285714285
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,11050612.501169994,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,11065068.240457233,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,11065068.240457233,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,11101488.071434092,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,11179690.960926972,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,11184085.292466039,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,11211794.864209758,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,11245946.65906978,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11252018.060853768,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,11324510.160826687,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11361958.323016586,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11442595.598875917,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,11486457.276115943,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,11510847.116090229,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,11549887.536243236,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,11671829.370145345,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11686302.68538456,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,11715410.631025909,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,11762916.528048517,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,11767628.305785723,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,11768674.866358763,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11791151.687620539,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11798426.33229523,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11818766.104465822,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,11826409.158864809,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,11846039.779055964,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,11846329.993437637,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,11873842.893314274,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11895042.176913155,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11912122.994680243,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11979919.736767722,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,11980845.86070556,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,11993959.831597691,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,11999594.289543299,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,12043502.410126971,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,12065079.240532933,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,12066657.134072155,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,12085461.355090978,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,12137055.56573333,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,12175353.478617622,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,12175437.583114885,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,12225535.080892416,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,12237468.935605267,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12311280.897337513,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,12332983.197694967,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,12403360.082530554,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,12438905.696819421,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12469478.571203621,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12522044.614873426,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,12528743.642805709,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,12530125.042789638,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,12588401.907162335,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,12588674.543434089,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,12606423.232819956,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,12632041.174732296,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,12651489.189626167,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,12734603.6916703,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,12755482.748245198,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12762686.96772977,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,12776012.774454808,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,12788578.568842145,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,12814441.33082002,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,12815338.518064087,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,12820541.384055303,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,12829105.83968395,0.14285714285714285
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,12843848.406157352,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,12918153.158538844,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,12921890.762116356,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,12979492.365696784,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,13165274.902961113,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,13253732.004887339,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13263414.016194021,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13334431.164768392,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,13365419.265685253,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,13392217.675532015,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,13410370.157479178,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,13429847.890848102,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,13473725.338679632,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,13502537.306647003,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,13539096.659493452,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,13555324.269733414,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,13613275.86923673,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,13641740.527485808,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,13707483.084037667,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,13770697.768811069,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,13770697.768811069,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,13865119.795638097,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,13917973.810709901,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,13959575.024552707,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,14003220.50287387,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,14005252.105567094,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,14128631.768655719,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,14150898.221888175,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,14267660.505900439,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,14278357.743636981,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,14305161.842055727,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,14338177.220628044,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,14380824.973190783,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,14506199.111915693,0.14285714285714285
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,14529756.250365779,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,14535672.040937623,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,14638626.350222785,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,14699288.10321717,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,14731643.699436551,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,14782145.338047614,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,14811943.865402071,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,14873342.584204506,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,14951718.278520551,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,14980332.031021299,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,14991232.830447281,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,15041737.175946595,0.14285714285714285
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,15047415.249772776,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,15085043.52246852,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,15133815.999391526,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,15135642.279725615,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,15231678.066616315,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,15308094.165621107,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,15398255.146462895,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,15400028.323025603,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,15482550.782843359,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,15485512.602361001,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,15565268.540770262,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,15676902.429016655,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,15678680.929073567,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,15827061.441762632,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,15865096.202890869,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,15897339.873755435,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,15946751.049582431,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,15975276.000817459,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,15992369.277235683,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,16037137.995185191,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,16096143.748303249,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,16151191.68667634,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,16201024.412004819,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,16233968.747405006,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,16400468.074305996,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,16838490.573840305,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,16946968.958155174,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,16946968.958155174,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,17282157.739332177,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,17347578.464838218,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,17486195.433997806,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,17576835.087879166,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,17598302.999908037,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,17664202.251510389,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,17702683.204677489,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,17889355.412329905,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,18046532.828687772,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,18303672.025644585,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,18491194.766668569,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,18713481.374921583,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,18761760.095096882,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,18896000.733087193,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,19140945.326704539,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,19217971.362344287,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,19228973.494849574,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,19247153.13852457,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,19300423.735286627,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,19411008.73463437,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,19579628.052304808,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,19769167.230847284,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,19950872.20610074,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,20144475.985185213,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,20529943.833938248,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,20559031.911038321,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,20621477.074281391,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,20651171.993558928,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,20668755.369705826,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,20767288.851802055,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,20933995.980365902,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,21033823.741307475,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,21149732.400651719,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,21217344.152895428,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,21437454.519965429,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,21454083.588796161,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,21460617.663068224,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,21555785.488630388,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,21730727.455619551,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,21769987.57538262,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,21849730.819269206,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,21849730.819269206,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,21859699.984078895,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,21880887.098174654,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,21964892.800557245,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,21976322.985302828,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,22121555.868344728,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,22187930.555156074,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,22261042.75353853,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,22378495.494476914,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,22442667.028294984,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,22797663.045785546,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,23002126.244622685,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,23134430.619505238,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,23169022.609388135,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,23210345.968754049,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,23507594.136268985,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,23676468.868342355,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,23966319.038491212,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,24971295.149961334,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,25369411.843170233,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,25389452.339910194,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,25450393.661696207,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,26375198.300006472,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,26375198.300006472,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,26504252.139177788,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,27228549.158175856,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,27673117.601901859,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,28677075.780759588,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,29575988.189190198,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,31337213.065154813,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,31338489.272102892,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,31514935.982463893,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,32563307.020058997,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,34251610.016947672,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,36515666.342115141,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,37424521.477810115,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,37534579.265922301,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,38036523.970193185,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,38512900.679431938,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,39260225.210170351,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,39330361.593488306,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,39656873.162897587,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,40110391.10921894,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,40352984.161749065,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,40412925.160821855,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,41029271.618140981,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,42075773.527896166,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,43232634.29649277,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,43733149.862684682,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,44038393.388013162,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,45597842.889152728,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,46637198.979057692,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,47438454.008126669,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,49086752.538607903,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,49630657.517328143,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,50158401.557792075,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,50684798.683351897,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,52137021.720042534,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,52792666.025520973,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,52963286.745608419,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,53143774.041380502,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,53523197.467601813,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,53717028.24177216,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,53775159.952512644,0.0
