我步步行来你步步爬,0,我步步行来你步步爬。
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8189982.8826927878,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8197246.146629639,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8215339.8152700001,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8216667.9833615506,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8217432.3732339442,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8234680.9432707708,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8255867.4232777636,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8258649.1813009027,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8265120.1909441007,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,8271398.6826577913,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,8283804.6659341305,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8297267.8720679265,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8302000.544273328,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8334090.8393676979,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8339240.2491360754,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8388568.2848147871,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8404786.6115205307,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,8423620.4544049408,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,8430889.3996500969,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,8457652.6316296756,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8481990.6087906882,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,8503562.572625313,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8538768.6833181195,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8548710.8312302269,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8558826.8771567643,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8581078.0645343196,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,8609840.4154985882,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,8612591.117019454,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8630070.6811939925,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,8636471.9554277677,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8637711.9572055973,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,8666581.0747408438,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8693023.4985491168,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,8738070.339291675,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8756228.2873226181,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,8770845.8605041821,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8776924.1885839514,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,8787295.1354797874,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8838878.8666190486,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8839472.5592460278,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,8928459.6510607544,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8929776.2706782017,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8935567.0205153562,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8946505.5203483198,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,8953020.2679374628,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8978332.5904105064,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9002688.6849350911,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9102082.7950512189,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,9149443.0602001566,0.1111111111111111
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,9149630.1690657716,0.3333333333333333
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9155435.7530495841,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,9187852.9557657074,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9194648.1046392266,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9209534.4090692587,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9231358.7655335497,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,9235859.5482638776,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,9253993.0984247662,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,9277439.3577492926,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,9310512.4231205024,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9360786.0096882209,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9374331.8554199487,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,9402250.7389542256,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9407853.5923161786,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,9431117.9128333814,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,9438590.8775782585,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9448923.1672572196,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,9472081.2300020531,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,9491629.7180608734,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,9523233.6090183444,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,9570306.2549796645,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,9618302.3712438736,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,9674752.9081827868,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,9702342.1892000847,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,9729092.8795052785,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9875540.0352422055,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,9912684.8224076424,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9922870.0978091154,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,9950222.1327674948,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,10005382.499648776,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,10042299.077354312,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,10054855.223771406,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,10078561.253272314,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,10078763.216990417,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,10085133.658700066,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,10094895.923630908,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10098779.268585507,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,10108605.129285153,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,10112529.515152365,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,10134867.912040882,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,10161451.770976668,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10170516.357318206,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10174067.439419691,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10177685.859794486,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,10205590.253095072,0.1111111111111111
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10207955.163053567,0.1111111111111111
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,10211607.337038465,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,10213551.960482588,0.1111111111111111
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,10216598.961730402,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,10223067.041391425,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,10233474.520440487,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,10236436.862504149,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,10241111.239155969,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,10254656.746160366,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,10261277.128197692,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10267109.535216324,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,10272805.982239239,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,10327032.175579261,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,10342168.222820574,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,10373335.781224569,0.1111111111111111
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,10385594.433600446,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,10469669.578598665,0.1111111111111111
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,10478987.772546204,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,10498744.478582351,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,10598852.748660095,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,10611808.327038275,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10696247.294869125,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,10696285.578270609,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10773580.299611224,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,10800663.230167223,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10802930.631809831,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,10821450.505892269,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,10824964.731328916,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,10840504.672943918,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,10853903.132729707,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,10915129.165762614,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10938978.107877357,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,11018339.470010241,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,11024337.838536954,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,11038829.208855856,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,11041738.80741043,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,11057273.090826817,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,11064497.545466835,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11064677.983665086,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,11139033.414325345,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,11144644.095101055,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,11172535.737377595,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,11194742.557336101,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,11199221.011872189,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,11231332.159508238,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,11373702.383068051,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11379513.433099572,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,11481521.71161902,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,11588827.02730635,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,11691805.583932079,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11756352.004907764,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,11765059.124159331,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,11798786.727930462,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,11804555.795676192,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,11834303.368454147,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,11869832.887711307,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,11870170.436288642,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,11872149.037141616,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,11909298.206028897,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,11923758.384094231,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,12046981.227746839,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,12076446.753289865,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12101952.030556617,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,12119645.806779761,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,12134944.758617092,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,12157479.970442014,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,12167908.964797465,0.1111111111111111
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,12219567.405059472,0.1111111111111111
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,12292296.743742118,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,12368021.821598655,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,12479848.646252846,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,12489153.752142159,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,12553458.813454745,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,12634618.494803237,0.1111111111111111
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,12663323.555163773,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,12740028.924524803,0.1111111111111111
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,12911991.62091119,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,13006618.576485734,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,13008788.609131992,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,13029100.254846897,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,13049437.884586861,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,13052045.429688703,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,13096010.80939229,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,13105154.755662426,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,13134227.796061536,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,13242220.234417489,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,13355853.99722838,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,13466512.419324638,0.1111111111111111
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,13504470.906140214,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,13556665.982541408,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,13577911.212974383,0.2222222222222222
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,13604340.270869285,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,13609582.971957743,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,13799621.485933583,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,13811741.927814469,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,13812139.102607515,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,13975361.374247028,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,14258725.036731258,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,14262797.188851405,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,14264643.116883283,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,14386795.426987713,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,14399974.094558066,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,14439443.710243085,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,14444155.172424456,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,14851893.021927077,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,15094373.059248151,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,15112548.295566851,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,15134680.188071018,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,15268918.068030735,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,15403927.54759584,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,15476102.108527383,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,15525932.494076854,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,15750330.205660814,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,15809612.261156771,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,16088579.997614624,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,16478880.249727307,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,16698282.418044558,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,16736157.8148083,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,16790796.260333098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,16810357.987231899,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,16824843.547900725,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,16824843.547900725,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,16865991.558355197,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,16909085.000101537,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,16937140.789391987,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,17150857.453404862,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,17189138.413041059,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,17625253.997731291,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,17671087.712969519,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,17833759.141476147,0.4444444444444444
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,18012892.827160627,0.1111111111111111
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,19142299.030119915,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,19631599.199204877,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,21460138.14676559,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,21460138.14676559,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,21682577.710281715,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,22258907.912975267,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,22568814.733935237,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,23728792.222805798,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,25794867.450705837,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,26424932.828096278,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,27870286.822579768,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,283747617.11685777,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,289245065.20646989,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,292289836.94347924,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,321995148.40928394,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,345933048.40377074,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,349054817.26312256,0.5555555555555556
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,361546330.35211778,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,364427619.06458759,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,365133901.61366987,0.2222222222222222
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,365133901.61366987,0.2222222222222222
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,375371129.0110532,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,384774059.352916,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,392405203.19826412,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,393591734.87736851,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,396086058.63638455,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,400663014.72405565,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,402778350.70810813,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,410395763.72194231,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,415064609.98378438,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,416216739.67314279,0.0
