催祥云驾瑞彩速赴佛场,0,催祥云驾瑞彩速赴佛场。
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,10786165.329898091,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10786406.839176225,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,10788113.78931077,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,10800465.374307407,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,10811782.061740238,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,10848915.171457507,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,10854288.184905162,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,10856647.65277124,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10875520.266781054,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,10899042.250435809,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,10944345.046694184,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,10944415.157927431,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,10952490.813181018,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,10973464.371739542,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10980052.332960933,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,10996995.89755821,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11024676.691092413,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11050635.552303638,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11054768.531840706,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11111342.789440734,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,11114831.094466312,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,11160572.693848856,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11163528.523476498,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11197701.468972346,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,11227835.661354356,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11240271.696470112,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,11250097.467966367,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,11276422.80009841,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,11333416.445316115,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,11337273.516734349,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,11356509.194005251,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11363358.578912886,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,11365516.054640489,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,11387179.347880192,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,11405677.781696636,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,11437131.217659391,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,11480109.900208285,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,11487510.650106477,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,11515857.127462557,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,11521874.270804951,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,11522263.969754316,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,11530793.591991523,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,11550038.003426118,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,11564187.300908944,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,11621665.976344869,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11623645.402184006,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11642887.881463472,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,11647748.916972259,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,11647748.916972259,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,11657118.070544448,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,11676098.712527009,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,11680917.084686233,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,11743364.326861728,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,11751912.965978721,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,11836288.21403886,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,11848435.550474629,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,11854759.544486528,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,11857417.229898429,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,11871836.842222821,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,11920639.639923591,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,11932436.006512091,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,12008429.800931457,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,12012579.48152026,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,12017076.030865353,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,12017700.735563051,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,12023944.14419348,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,12190861.794575652,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,12196730.058569517,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,12200015.364862837,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,12216507.243973184,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12228139.157819068,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,12233151.417400168,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,12233857.61604666,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,12303088.122812323,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12318989.259210773,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12388956.983224204,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,12410640.890670236,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,12423301.792720202,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,12504661.858423661,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,12541306.354946014,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,12554435.098377226,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,12652770.798952155,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,12659554.371016074,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,12738307.882996276,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,12794670.643658096,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,12816481.402102789,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,12845370.726432931,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,12875382.904143922,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,12980235.254263943,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,13002312.435652055,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,13049867.193580786,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,13115753.775191188,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,13126837.268418556,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,13161964.552990107,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,13174545.093550261,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,13175938.191284353,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,13179348.881983515,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13181678.864966603,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,13197020.745789662,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,13222850.956724888,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,13255482.299604213,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,13316043.671068527,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,13347545.084395267,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,13359495.930158364,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,13362009.329449194,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,13391486.843527224,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,13417514.804073254,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,13420283.269295376,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,13475274.019349087,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,13560982.16404669,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,13578184.954143893,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,13678019.650715105,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,13844524.966156809,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,13873192.870753227,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,14011371.450704018,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,14020127.79655166,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,14040356.437413648,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,14046412.888356175,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,14120849.788575649,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,14220493.725616995,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,14221478.674561419,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,14235866.925845373,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,14254465.231074579,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,14262141.411947032,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,14362771.44223373,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,14445638.771268489,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,14450951.683399709,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,14537525.97605367,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,14602207.624493971,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,14617545.637337841,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,14645280.933660524,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,14648000.777663196,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,14674094.609102663,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,14695828.865516555,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,14793282.708503369,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,14841610.436793694,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,14921826.280302899,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,14957912.954403259,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,14992723.589167392,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,14998970.616673201,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,15060394.388813497,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,15166489.108897652,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,15172370.342305547,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,15324836.450300854,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,15348692.529942049,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,15411642.590777811,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,15430704.439941196,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,15436022.696065489,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,15463270.070264904,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,15469921.970792951,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,15497090.100525312,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,15509884.55385875,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,15585528.696400153,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,15720081.154433571,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,15780020.269865258,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,15786871.014185874,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,15815499.514057543,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,15878283.250382498,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,15924541.334071059,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,16028279.156565873,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,16028366.515800443,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,16056870.188684162,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,16217019.731192863,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,16218637.448827868,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,16334091.026220961,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,16396595.222007029,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,16489550.113567319,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,16494667.223896364,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,16749614.326170068,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,16781566.059729688,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,16795945.849750537,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,16847141.721502125,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,16923774.114279073,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,17096650.129743431,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,17350314.742710494,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,17624687.666249599,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,17648637.363606293,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,17687518.078393947,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,17696167.654796194,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,17781218.15989285,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,17793825.925767887,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,18020507.306400869,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,18075050.845576953,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,18145633.29929648,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,18186787.572499882,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,18244673.633383084,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,18443998.621900901,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,18453470.670044698,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,18484891.817659929,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,18516284.579919934,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,18550631.371757343,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,18770563.248060949,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,18792897.580782533,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,18854414.571761057,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,18899192.41313915,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,18963006.04875046,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,18999823.111934487,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,19112795.809280779,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,19253012.010904219,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,19325195.924042985,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,19463305.438381739,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,19500308.681953285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,19501976.886320435,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,20017112.624921858,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,20075876.773500133,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,20191927.529330231,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,20277558.739079643,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,20323454.332707629,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,20539667.325535517,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,20819220.008306593,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,20927841.22739239,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,20927841.22739239,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,20956102.186136227,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,22266277.886452343,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,22570749.21308643,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,23664589.853677079,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,23697345.617441796,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,24879680.387678996,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,25195887.456794918,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,25796333.934212457,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,26320385.209064867,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,26946172.956765492,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,27081623.987928487,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,27639729.481629405,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,29814004.714079324,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,30005354.295873087,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,34365779.107391253,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,36831418.961427785,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_1,陈宫心（呐）中乱如麻，,2744160452.1060886,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_1,陈宫心（呐）中乱如麻，,3042496834.9732232,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,3191172289.357913,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,3209757356.2470584,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,3298230294.0209751,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,3376498857.0103908,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,3427618348.3711667,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,3553271367.3827934,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,3569008851.0110121,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,3576694482.0311766,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏（啊），,3597082809.5201035,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,3612426310.6540298,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,3649465603.2856507,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,3657051500.6651449,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,3663961100.977869,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,3718344922.2935343,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,3747191877.2873869,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,3788356356.1893616,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,3799730594.5068054,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,3815268450.4189177,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,3862084882.5105524,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,3950530334.4772735,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,3972259482.8291006,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,3974406760.6236839,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,4014844438.4084454,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,4062138667.3092446,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,4074579879.8031878,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,4117583864.9183207,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,4124380858.0798869,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,4159369141.3343458,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,生死二字（喏）且由他。,4200811699.225297,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,4214419023.0656762,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,4241768700.9599004,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,4250881986.6682796,0.0
