柳暗花明休啼笑,1,柳暗花明休啼笑，
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,19549256.828352295,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,19553135.199416272,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,19704739.28559228,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,19722285.022926863,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,19828439.000772309,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,19834254.994829733,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,19901218.752533063,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,19908915.900998078,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,19956737.725248829,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,19982560.66107107,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,20037067.03738289,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,20141765.894907996,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,20160758.514435194,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,20163963.645654436,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,20317516.048248801,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,20462196.77956007,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,20492860.547803257,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,20495956.083301082,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,20521800.968623035,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,20569300.224960953,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,20579460.508542057,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,20631931.753773414,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,20753084.598465085,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,20767251.690768354,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,20774246.662903819,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,20847665.655175652,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,20903156.791704286,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,20910957.226792838,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,20913400.700841721,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,20967352.982276812,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,20971740.87528652,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,21053782.66386611,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,21058406.311766081,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,21106616.493149504,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,21113807.699817937,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,21173726.764616016,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,21189343.865326144,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,21231345.538409226,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,21304585.714293402,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,21305658.907575697,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,21313770.646283474,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,21347426.584474936,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,21347627.889699321,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,21678755.318816815,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,21776199.13280924,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,21783150.323445667,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,21879889.10717722,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,21885897.799950346,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,21920159.638343658,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,21949634.683680955,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,22129596.655103784,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,22148676.162702475,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,22151461.71058131,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,22161680.700025994,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,22179270.560015637,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,22216076.176555905,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,22216076.176555905,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,22253437.046383791,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,22438830.927878115,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,22478810.783123191,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,22523622.197644725,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,22535093.476707499,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,22541375.14489419,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,22604815.462050971,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,22608936.78907688,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,22639091.021851353,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,22640050.396701705,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,22730868.753204942,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,22758125.015624352,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,22845742.00918844,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,22909411.369696442,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,22939535.857201286,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,23158412.793222848,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,23341622.062699512,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,23369674.594133724,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,23429503.324520689,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,23506791.82860424,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,23547982.038693059,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,23573341.505501121,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,23703778.410197448,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,23716963.416368492,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,23878509.788086243,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,23889834.052766491,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,24060128.073169932,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,24368679.412292212,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,24397775.496026833,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,24628842.627184365,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,24653764.733538002,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,24655032.360418297,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,24674379.957884949,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,24786618.865873456,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,24855029.223345622,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,24977435.64364741,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,25156299.383463889,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,25169866.912143338,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,25187806.8920503,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,25291960.238678727,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,25392407.980237152,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,25419090.687274262,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,25446750.652981833,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,25465071.746188726,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,25485852.485683065,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,25518003.812592912,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,25537727.075572584,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,25572629.959589187,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,25689309.304317072,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,25816306.992452081,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,25895458.552945383,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,26003434.645016484,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,26087673.611291528,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,26123114.002197817,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,26260243.805280544,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,26429539.758231036,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,26511701.629214324,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,26611231.485174932,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,26793475.628635503,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,26879693.64339897,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,26888986.45874057,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,26899995.324517947,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,26933526.905691452,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,26946490.558556207,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,27017231.71543641,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,27106255.579968736,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,27587176.831111602,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,27715259.85678757,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,27782168.873226397,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,27931473.919100333,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,28351078.858118828,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,28665178.887945924,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,28682285.047018625,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,28748901.489226967,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,28936840.180109859,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,29103023.488524649,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,29241735.399495739,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,29251977.247501083,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,29567357.961688515,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,29731956.767027233,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,29848506.243369401,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,29873883.379011195,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,30160100.739319861,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,30184006.003109153,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,30477091.160881277,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,30571801.282849461,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,30610635.082123026,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,30773948.824913278,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,30947935.292122666,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,30979105.036972545,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,31071924.214307539,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,31166419.016038511,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,31588567.627824549,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,31737010.001862943,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,31802531.824063301,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,31841183.486524805,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,31941199.764203444,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,32056939.485023726,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,32071043.813935485,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,32104045.727280188,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,32226004.989322916,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,32299729.846558809,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,32399411.228513576,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,32460810.025204647,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,32503670.125212539,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,32593023.40996566,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,32593023.40996566,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,32601082.849191595,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,32860854.729740459,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,32948566.71928858,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,33058755.241348833,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,33122674.376446206,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,33129919.217491262,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,33284103.1894329,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,33333156.91438736,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,33680438.632096112,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,33694643.167343207,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,33796494.810349248,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,33819664.323822238,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,34004853.220929116,0.42857142857142855
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,34077252.298275717,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,34087103.790607825,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,34224564.129666023,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,34412625.721314065,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,34526360.335621998,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,34651861.5537095,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,34995541.61894875,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,35103403.067953013,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,35126306.079969861,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,35345903.659734406,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,35349568.80466567,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,35774779.753116608,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,36364651.874717161,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,36448416.398387477,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,36477581.070468329,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,36589657.991820067,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,37007435.824071288,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,37073409.782363601,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,37277858.036258683,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,37341641.906634063,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,37649655.620415621,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,37652402.124821566,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,37953283.530927382,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,38136426.584488116,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,38622517.653188281,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,38983820.672695473,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,39061651.266989142,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,39371451.19578357,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,39750232.896890789,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,39826469.010349631,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,40153579.834502436,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,40722392.876940921,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,40744483.067156225,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,40921185.287137225,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,40982068.527758956,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,41038035.429261371,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,41587680.667090483,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,41602610.801710039,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,42311764.793488607,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,42311764.793488607,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,42793164.341226168,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,44071422.313473314,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,44194140.122895159,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,45412687.545958862,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,45607543.305362202,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,45642640.552451976,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,45803126.101661474,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,45989441.102107599,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,45989441.102107599,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,52210684.47258088,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,52652659.342027046,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,54268920.520783387,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,257363066.33254471,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,259381383.82242957,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,284717558.39002711,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,285641403.5596385,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,297202963.69448477,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,310491010.14581174,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,310722796.56426406,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,319618028.38614225,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,320510868.11738211,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,335565711.39299953,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,336988431.70452112,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,340046638.06040847,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,340134587.18749005,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,340134587.18749005,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,340415313.19835919,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,345892790.30849743,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,348227460.18970412,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,349959691.42385,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,350643700.03136551,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,352836728.15590525,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,364053877.56838065,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,365035685.13463968,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,371871347.10136747,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,374314298.18399084,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,377377720.40168363,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,383254164.32622373,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,385394587.37596077,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,385836605.34503245,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,387509420.03123325,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,388804284.11183769,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,388804284.11183769,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,393916975.52000618,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,396809607.56063783,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,397380403.7412045,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,400723733.47325242,0.0
